NB,H_BS,H_PRODUCT,HS_UPI,H_DVCS,TP_STATUS2,CANADA,CANADIAN_DERIVATIVE_STATUS,CLEARING_THRESHOLD_EXEEDED
158988967,S,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
158996378,S,EQD_OPT_ASI,Equity:Other,C                                                 ,LIVE,,Y,
158996465,S,EQD_OPT_OTC,Equity:Other,C                                                 ,LIVE,,Y,
158997170,B,IRD_IRS,InterestRate:IRSwap:OIS,,MKT_OP,N,N,N
158997419,S,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
158997539,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
158997540,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
158997541,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
158997542,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
158997543,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
158997544,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
158999534,B,COM_ASIAN,Commodity:Energy:Oil:Exotic,C                                                 ,LIVE,Y,Y,
159001253,S,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
159001264,S,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
159001275,S,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
159001749,B,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
159001760,B,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
159001771,B,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
159002629,B,IRD_IRS,InterestRate:IRSwap:OIS,,MKT_OP,N,Y,
159002825,S,EQD_OPT_OTC,Equity:Other,C                                                 ,LIVE,,Y,
159002826,S,EQD_OPT_ASI,Equity:Other,C                                                 ,LIVE,,Y,
159002830,S,EQD_OPT_ASI,Equity:Other,C                                                 ,LIVE,,Y,
159002831,S,EQD_OPT_OTC,Equity:Other,C                                                 ,LIVE,,Y,
159002832,S,EQD_OPT_ASI,Equity:Other,C                                                 ,LIVE,,Y,
159002833,S,EQD_OPT_OTC,Equity:Other,C                                                 ,LIVE,,Y,
159002840,S,EQD_OPT_ASI,Equity:Other,C                                                 ,LIVE,,Y,
159002841,S,EQD_OPT_OTC,Equity:Other,C                                                 ,LIVE,,Y,
